エネルギー(無地),スタートデッキ ラブライブ！,エネルギー,LL-E-001-SD,効果なし
桜内梨子,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-002-R,相手は手札からライブカードを1枚控え室に置いてもよい。そうしなかった場合、ライブ終了時まで、「ライブの合計スコアを＋１する。」を得る。
桜内梨子,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-002-P＋,相手は手札からライブカードを1枚控え室に置いてもよい。そうしなかった場合、ライブ終了時まで、「ライブの合計スコアを＋１する。」を得る。
松浦果南,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-003-R,支払ってもよい：ライブ終了時まで、このメンバーが元々持つハートはすべてになる。エールにより公開された自分のカードの中から、ライブカードを1枚手札に加える。
松浦果南,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-003-P＋,支払ってもよい：ライブ終了時まで、このメンバーが元々持つハートはすべてになる。エールにより公開された自分のカードの中から、ライブカードを1枚手札に加える。
黒澤ダイヤ,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-004-R,このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。
黒澤ダイヤ,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-004-P＋,このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。
渡辺 曜,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-005-R,相手のエネルギーが自分より多い場合、を得る。
渡辺 曜,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-005-P＋,相手のエネルギーが自分より多い場合、を得る。
津島善子,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-006-R,手札のライブカードを1枚公開する：相手は手札を1枚控え室に置いてもよい。そうしなかった場合、ライブ終了時まで、を得る。
津島善子,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-006-P＋,手札のライブカードを1枚公開する：相手は手札を1枚控え室に置いてもよい。そうしなかった場合、ライブ終了時まで、を得る。
国木田花丸,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-007-R,エールにより公開された自分のカードの中にライブカードが1枚以上あるとき、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
国木田花丸,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-007-P＋,エールにより公開された自分のカードの中にライブカードが1枚以上あるとき、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
小原鞠莉,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-008-R,自分か相手を選ぶ。自分は、そのプレイヤーのデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
小原鞠莉,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-008-P＋,自分か相手を選ぶ。自分は、そのプレイヤーのデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
黒澤ルビィ,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-009-R,自分と相手の成功ライブカード置き場にカードが合計3枚以上ある場合、を得る。
黒澤ルビィ,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-009-P＋,自分と相手の成功ライブカード置き場にカードが合計3枚以上ある場合、を得る。
高海千歌,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-010-N,効果なし
桜内梨子,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-011-N,効果なし
松浦果南,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-012-N,効果なし
黒澤ダイヤ,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-013-N,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを4枚見る。その中からハートにを2個以上持つメンバーカードか、必要ハートにを2以上含むライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
渡辺 曜,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-014-N,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを4枚見る。その中からハートにを2個以上持つメンバーカードか、必要ハートにを2以上含むライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
津島善子,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-015-N,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを4枚見る。その中からハートにを2個以上持つメンバーカードか、必要ハートにを2以上含むライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
国木田花丸,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-016-N,支払ってもよい：ライブ終了時まで、を得る。
小原鞠莉,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-017-N,支払ってもよい：ライブ終了時まで、を得る。
黒澤ルビィ,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-018-N,支払ってもよい：ライブ終了時まで、を得る。
元気全開DAY！DAY！DAY！,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,PL!S-pb1-019-L,自分のステージにいる『Aqours』のメンバーが持つハートに、が合計6個以上ある場合、このカードの能力を無効にする。相手は、エネルギーデッキからエネルギーカードを1枚ウェイト状態で置く。
トリコリコPLEASE!!,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,PL!S-pb1-020-L,自分のステージにいる『Aqours』のメンバーが持つハートに、が合計10個以上ある場合、このカードのスコアを＋２する。
Strawberry Trapper,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,PL!S-pb1-021-L,自分のステージにいる『Aqours』のメンバーが持つハートに、が合計4個以上あり、このターン、相手が余剰のハートを持たずにライブを成功させていた場合、このカードのスコアを＋２する。
逃走迷走メビウスループ,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,PL!S-pb1-022-L,このターン、ライブに勝利するプレイヤーを決定するとき、自分と相手のライブの合計スコアが同じ場合、ライブ終了時まで、自分と相手は成功ライブカード置き場にカードを置くことができない。
逃走迷走メビウスループ,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,PL!S-pb1-022-L＋,このターン、ライブに勝利するプレイヤーを決定するとき、自分と相手のライブの合計スコアが同じ場合、ライブ終了時まで、自分と相手は成功ライブカード置き場にカードを置くことができない。
Next SPARKLING!!,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,PL!S-pb1-023-L,効果なし
Next SPARKLING!!,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,PL!S-pb1-023-L＋,効果なし
僕らの走ってきた道は・・・,プレミアムブースター ラブライブ！サンシャイン!!,ライブ,PL!S-pb1-024-L,カードを2枚引き、手札を2枚控え室に置く。
高海千歌,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-025-PE,効果なし
高海千歌,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-025-PE＋,効果なし
桜内梨子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-026-PE,効果なし
桜内梨子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-026-PE＋,効果なし
松浦果南,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-027-PE,効果なし
松浦果南,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-027-PE＋,効果なし
黒澤ダイヤ,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-028-PE,効果なし
黒澤ダイヤ,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-028-PE＋,効果なし
渡辺 曜,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-029-PE,効果なし
渡辺 曜,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-029-PE＋,効果なし
津島善子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-030-PE,効果なし
津島善子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-030-PE＋,効果なし
国木田花丸,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-031-PE,効果なし
国木田花丸,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-031-PE＋,効果なし
小原鞠莉,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-032-PE,効果なし
小原鞠莉,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-032-PE＋,効果なし
黒澤ルビィ,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-033-PE,効果なし
黒澤ルビィ,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-033-PE＋,効果なし
高海千歌,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-034-SRE,効果なし
桜内梨子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-035-SRE,効果なし
松浦果南,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-036-SRE,効果なし
黒澤ダイヤ,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-037-SRE,効果なし
渡辺 曜,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-038-SRE,効果なし
津島善子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-039-SRE,効果なし
国木田花丸,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-040-SRE,効果なし
小原鞠莉,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-041-SRE,効果なし
黒澤ルビィ,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-042-SRE,効果なし
高海千歌,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-043-SRE,効果なし
桜内梨子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-044-SRE,効果なし
松浦果南,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-045-SRE,効果なし
黒澤ダイヤ,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-046-SRE,効果なし
渡辺 曜,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-047-SRE,効果なし
津島善子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-048-SRE,効果なし
国木田花丸,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-049-SRE,効果なし
小原鞠莉,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-050-SRE,効果なし
黒澤ルビィ,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-051-SRE,効果なし
高海千歌,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-052-SRE,効果なし
高海千歌,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-052-SECE,効果なし
CHIKA＆RIKO＆YOU,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-053-SECE,効果なし
高海千歌,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-064-LLE,効果なし
桜内梨子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-065-LLE,効果なし
松浦果南,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-066-LLE,効果なし
黒澤ダイヤ,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-067-LLE,効果なし
渡辺 曜,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-068-LLE,効果なし
津島善子,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-069-LLE,効果なし
国木田花丸,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-070-LLE,効果なし
小原鞠莉,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-071-LLE,効果なし
黒澤ルビィ,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-072-LLE,効果なし
鹿角聖良,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-054-SRE,効果なし
鹿角理亞,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-055-SRE,効果なし
鹿角聖良,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-056-SRE,効果なし
鹿角理亞,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-057-SRE,効果なし
鹿角聖良,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-058-SRE,効果なし
鹿角理亞,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-059-SRE,効果なし
-,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-060-SRE,効果なし
-,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-061-SRE,効果なし
-,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-062-SRE,効果なし
-,プレミアムブースター ラブライブ！サンシャイン!!,エネルギー,PL!S-pb1-063-SRE,効果なし
高海千歌,ブースターパック NEXT STEP,メンバー,PL!S-bp2-001-R,自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、［ブレード］［ブレード］［ブレード］を得る。
高海千歌,ブースターパック NEXT STEP,メンバー,PL!S-bp2-001-P,自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、［ブレード］［ブレード］［ブレード］を得る。
桜内梨子,ブースターパック NEXT STEP,メンバー,PL!S-bp2-002-R,このメンバーがステージから控え室に置かれたとき、手札を1枚控え室に置いてもよい。そうした場合、自分の控え室から『Aqours』のライブカードを1枚手札に加える。
桜内梨子,ブースターパック NEXT STEP,メンバー,PL!S-bp2-002-P,このメンバーがステージから控え室に置かれたとき、手札を1枚控え室に置いてもよい。そうした場合、自分の控え室から『Aqours』のライブカードを1枚手札に加える。
松浦果南,ブースターパック NEXT STEP,メンバー,PL!S-bp2-003-R,［ターン1回］エールにより公開された自分のカードの中にライブカードが1枚以上あるとき、ライブ終了時まで、［緑ハート］を得る。
松浦果南,ブースターパック NEXT STEP,メンバー,PL!S-bp2-003-P,［ターン1回］エールにより公開された自分のカードの中にライブカードが1枚以上あるとき、ライブ終了時まで、［緑ハート］を得る。
黒澤ダイヤ,ブースターパック NEXT STEP,メンバー,PL!S-bp2-004-R,［ターン1回］エールにより公開された自分のカードの中にライブカードがないとき、それらのカードをすべて控え室に置いてもよい。これにより1枚以上のカードが控え室に置かれた場合、そのエールで得たブレードハートを失い、もう一度エールを行う。
黒澤ダイヤ,ブースターパック NEXT STEP,メンバー,PL!S-bp2-004-P,［ターン1回］エールにより公開された自分のカードの中にライブカードがないとき、それらのカードをすべて控え室に置いてもよい。これにより1枚以上のカードが控え室に置かれた場合、そのエールで得たブレードハートを失い、もう一度エールを行う。
渡辺 曜,ブースターパック NEXT STEP,メンバー,PL!S-bp2-005-R＋,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを7枚見る。その中からかかを持つメンバーカードを3枚まで公開して手札に加えてもよい。残りを控え室に置く。
渡辺 曜,ブースターパック NEXT STEP,メンバー,PL!S-bp2-005-P,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを7枚見る。その中からかかを持つメンバーカードを3枚まで公開して手札に加えてもよい。残りを控え室に置く。
渡辺 曜,ブースターパック NEXT STEP,メンバー,PL!S-bp2-005-P＋,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを7枚見る。その中からかかを持つメンバーカードを3枚まで公開して手札に加えてもよい。残りを控え室に置く。
渡辺 曜,ブースターパック NEXT STEP,メンバー,PL!S-bp2-005-SEC,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを7枚見る。その中からかかを持つメンバーカードを3枚まで公開して手札に加えてもよい。残りを控え室に置く。
津島善子,ブースターパック NEXT STEP,メンバー,PL!S-bp2-006-R,支払ってもよい：自分の控え室から、コストの合計が4以下になるようにメンバーカードを2枚までステージに登場させる。
津島善子,ブースターパック NEXT STEP,メンバー,PL!S-bp2-006-P,支払ってもよい：自分の控え室から、コストの合計が4以下になるようにメンバーカードを2枚までステージに登場させる。
国木田花丸,ブースターパック NEXT STEP,メンバー,PL!S-bp2-007-R＋,［ターン1回］エールにより公開された自分のカードの中にライブカードが1枚以上あるとき、自分の手札が7枚以下の場合、カードを1枚引く。
手札のライブカードを1枚公開し、デッキの一番下に置いてもよい：自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
国木田花丸,ブースターパック NEXT STEP,メンバー,PL!S-bp2-007-P,［ターン1回］エールにより公開された自分のカードの中にライブカードが1枚以上あるとき、自分の手札が7枚以下の場合、カードを1枚引く。
手札のライブカードを1枚公開し、デッキの一番下に置いてもよい：自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
国木田花丸,ブースターパック NEXT STEP,メンバー,PL!S-bp2-007-P＋,［ターン1回］エールにより公開された自分のカードの中にライブカードが1枚以上あるとき、自分の手札が7枚以下の場合、カードを1枚引く。
手札のライブカードを1枚公開し、デッキの一番下に置いてもよい：自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
国木田花丸,ブースターパック NEXT STEP,メンバー,PL!S-bp2-007-SEC,［ターン1回］エールにより公開された自分のカードの中にライブカードが1枚以上あるとき、自分の手札が7枚以下の場合、カードを1枚引く。
手札のライブカードを1枚公開し、デッキの一番下に置いてもよい：自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
小原鞠莉,ブースターパック NEXT STEP,メンバー,PL!S-bp2-008-R＋,自分の控え室からライブカードを1枚までデッキの一番下に置く。
自分のステージのエリアすべてに『Aqours』のメンバーが登場しており、かつ名前が異なる場合、「エールにより公開された自分のカードの中にライブカードが1枚以上ある場合、ライブの合計スコアを＋１する。ライブカードが3枚以上ある場合、代わりに合計スコアを＋２する。」を得る。
小原鞠莉,ブースターパック NEXT STEP,メンバー,PL!S-bp2-008-P,自分の控え室からライブカードを1枚までデッキの一番下に置く。
自分のステージのエリアすべてに『Aqours』のメンバーが登場しており、かつ名前が異なる場合、「エールにより公開された自分のカードの中にライブカードが1枚以上ある場合、ライブの合計スコアを＋１する。ライブカードが3枚以上ある場合、代わりに合計スコアを＋２する。」を得る。
小原鞠莉,ブースターパック NEXT STEP,メンバー,PL!S-bp2-008-P＋,自分の控え室からライブカードを1枚までデッキの一番下に置く。
自分のステージのエリアすべてに『Aqours』のメンバーが登場しており、かつ名前が異なる場合、「エールにより公開された自分のカードの中にライブカードが1枚以上ある場合、ライブの合計スコアを＋１する。ライブカードが3枚以上ある場合、代わりに合計スコアを＋２する。」を得る。
小原鞠莉,ブースターパック NEXT STEP,メンバー,PL!S-bp2-008-SEC,自分の控え室からライブカードを1枚までデッキの一番下に置く。
自分のステージのエリアすべてに『Aqours』のメンバーが登場しており、かつ名前が異なる場合、「エールにより公開された自分のカードの中にライブカードが1枚以上ある場合、ライブの合計スコアを＋１する。ライブカードが3枚以上ある場合、代わりに合計スコアを＋２する。」を得る。
黒澤ルビィ,ブースターパック NEXT STEP,メンバー,PL!S-bp2-009-R,このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。
黒澤ルビィ,ブースターパック NEXT STEP,メンバー,PL!S-bp2-009-P,このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。
高海千歌,ブースターパック NEXT STEP,メンバー,PL!S-bp2-010-N,カードを2枚引き、手札を2枚控え室に置く。
桜内梨子,ブースターパック NEXT STEP,メンバー,PL!S-bp2-011-N,効果なし
松浦果南,ブースターパック NEXT STEP,メンバー,PL!S-bp2-012-N,効果なし
黒澤ダイヤ,ブースターパック NEXT STEP,メンバー,PL!S-bp2-013-N,効果なし
渡辺 曜,ブースターパック NEXT STEP,メンバー,PL!S-bp2-014-N,効果なし
津島善子,ブースターパック NEXT STEP,メンバー,PL!S-bp2-015-N,効果なし
国木田花丸,ブースターパック NEXT STEP,メンバー,PL!S-bp2-016-N,このメンバーをステージから控え室に置く：自分の控え室からメンバーカードを1枚手札に加える。
小原鞠莉,ブースターパック NEXT STEP,メンバー,PL!S-bp2-017-N,効果なし
黒澤ルビィ,ブースターパック NEXT STEP,メンバー,PL!S-bp2-018-N,効果なし
WATER BLUE NEW WORLD,ブースターパック NEXT STEP,ライブ,PL!S-bp2-019-L,効果なし
DREAMY COLOR,ブースターパック NEXT STEP,ライブ,PL!S-bp2-020-L,効果なし
未体験HORIZON,ブースターパック NEXT STEP,ライブ,PL!S-bp2-021-L,エールにより公開された自分のカードの中から、ライブカードを1枚までデッキの一番下に置く。
未熟DREAMER,ブースターパック NEXT STEP,ライブ,PL!S-bp2-022-L,このターン、自分のデッキがリフレッシュしていた場合、このカードのスコアを＋２する。
MY舞☆TONIGHT,ブースターパック NEXT STEP,ライブ,PL!S-bp2-023-L,自分のライブカード置き場に「MY舞☆TONIGHT」以外の『Aqours』のライブカードがある場合、ライブ終了時まで、自分のステージのメンバーはを得る。
君のこころは輝いてるかい？,ブースターパック NEXT STEP,ライブ,PL!S-bp2-024-L,このカードは成功ライブカード置き場に置くことができない。
カードを2枚引き、手札を1枚控え室に置く。
青空Jumping Heart,ブースターパック NEXT STEP,ライブ,PL!S-bp2-025-L,自分の成功ライブカード置き場にカードが2枚以上ある場合、ライブ終了時まで、自分のステージにいるメンバー1人は、を得る。
ユメ語るよりユメ歌おう,ブースターパック NEXT STEP,ライブ,PL!S-bp2-026-L,効果なし
渡辺 曜,ブースターパック NEXT STEP,エネルギー,PL!S-bp2-027-SECE,効果なし
国木田花丸,ブースターパック NEXT STEP,エネルギー,PL!S-bp2-028-SECE,効果なし
小原鞠莉,ブースターパック NEXT STEP,エネルギー,PL!S-bp2-029-SECE,効果なし
SAKURAUCHI RIKO,ブースターパック NEXT STEP,エネルギー,PL!S-bp2-030-PE,効果なし
SAKURAUCHI RIKO,ブースターパック NEXT STEP,エネルギー,PL!S-bp2-030-PE＋,効果なし
MATSUURA KANAN,ブースターパック NEXT STEP,エネルギー,PL!S-bp2-031-PE,効果なし
MATSUURA KANAN,ブースターパック NEXT STEP,エネルギー,PL!S-bp2-031-PE＋,効果なし
KUROSAWA DIA,ブースターパック NEXT STEP,エネルギー,PL!S-bp2-032-PE,効果なし
KUROSAWA DIA,ブースターパック NEXT STEP,エネルギー,PL!S-bp2-032-PE＋,効果なし
